run,id,scope,schema,semantic,engine,joint,latency_ms,failed_assertions
local-baseline,core-01-1,core,true,true,true,true,12,
local-baseline,core-01-2,core,true,true,true,true,1,
local-baseline,core-01-3,core,true,true,true,true,0,
local-baseline,core-02-1,core,true,false,true,false,0,actionLabel
local-baseline,core-02-2,core,true,false,true,false,0,actionLabel
local-baseline,core-02-3,core,true,false,true,false,1,actionLabel
local-baseline,core-03-1,core,true,false,true,false,0,actionLabel
local-baseline,core-03-2,core,true,false,true,false,0,actionLabel
local-baseline,core-03-3,core,true,false,true,false,0,actionLabel
local-baseline,core-04-1,core,true,false,true,false,0,state
local-baseline,core-04-2,core,true,false,true,false,0,state
local-baseline,core-04-3,core,true,false,true,false,0,state
local-baseline,core-05-1,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-05-2,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-05-3,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-06-1,core,true,false,true,false,0,state
local-baseline,core-06-2,core,true,false,true,false,0,state
local-baseline,core-06-3,core,true,false,true,false,0,state
local-baseline,core-07-1,core,true,false,true,false,0,value
local-baseline,core-07-2,core,true,false,true,false,0,value
local-baseline,core-07-3,core,true,false,true,false,0,value
local-baseline,core-08-1,core,true,false,true,false,0,visualization|value|unit|progressValue
local-baseline,core-08-2,core,true,false,true,false,0,visualization|value|unit|progressValue
local-baseline,core-08-3,core,true,false,true,false,0,visualization|value|unit|progressValue
local-baseline,core-09-1,core,true,false,true,false,0,value
local-baseline,core-09-2,core,true,false,true,false,0,value
local-baseline,core-09-3,core,true,false,true,false,0,value
local-baseline,core-10-1,core,true,false,true,false,0,value|state|emphasis
local-baseline,core-10-2,core,true,false,true,false,0,value|state|emphasis
local-baseline,core-10-3,core,true,false,true,false,0,value|state|emphasis
local-baseline,core-11-1,core,true,false,true,false,0,actionLabel
local-baseline,core-11-2,core,true,false,true,false,0,actionLabel
local-baseline,core-11-3,core,true,false,true,false,0,actionLabel
local-baseline,core-12-1,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-12-2,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-12-3,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-13-1,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-13-2,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-13-3,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-14-1,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-14-2,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-14-3,core,true,false,true,false,0,visualization|value|unit|actionLabel
local-baseline,core-15-1,core,true,false,true,false,0,actionLabel
local-baseline,core-15-2,core,true,false,true,false,0,actionLabel
local-baseline,core-15-3,core,true,false,true,false,0,actionLabel
local-baseline,core-16-1,core,true,false,true,false,0,unit
local-baseline,core-16-2,core,true,false,true,false,0,unit
local-baseline,core-16-3,core,true,false,true,false,0,unit
local-baseline,core-17-1,core,true,false,true,false,0,value|unit
local-baseline,core-17-2,core,true,false,true,false,0,value|unit
